Ano-Calendário;Faixa SM Mensal;Quantidade de Declarantes;Rendimentos Tributáveis;Rendimentos sujeitos a Tributação Exclusiva;Rendimentos Isentos;Dedução Previdenciária Total;Deduções Previdência Oficial;Deduções Previdenciárias RRA;Deduções Previdência Privada e FAPI;Deduções com Dependentes;Deduções com Instrução;Deduções com despesas Médicas;Dedução de Livro Caixa;Deduções  com Pensão Alimentícia Total;Deduções com Pensão Alimentícia Judicial;Deduções com Pensão Alimentícia Escritural;Deduções com Pensão Alimentícia RRA;Desconto Padrão;Base de Cálculo (RTL);Imposto Devido;Dedução de Incentivo;Imposto Devido 1;Imposto Devido RRA;Imposto Devido Total;Imposto Pago;Imposto a Pagar;Imposto a Restituir;Dívidas   e Ônus;Doações e Heranças Recebidas;Bens e Direitos;Previdência Complementar (VGBL);Valores Pagos com Previdência Complementar (PGBL);Valores Pagos com Previdência Complementar de Natureza Pública;Valores Pagos com FAPI;Despesas com Instrução;Despesas Médicas;Pensão Alimentícia Judicial;Despesas com Pensão Alimentícia Escritural;Despesas com Profissionais Liberais;Despesas com Arrendamento Rural;Outras Despesas;Doações Efetuadas
2020;Até 1/2;2888249;2352,964048;20333,85761;150315,8272;54,62852466;52,93849555;0,09299262;1,59703649;110,896253;13,90908836;85,62117569;0,46280304;7,53467414;6,72948725;0,78662199;0,0185649;272,4213811;1807,490148;0,90569428;0;0,90569428;116,8250132;116,8664807;421,4528809;9,51034268;313,629867;95204,33605;18760,98062;1144222,677;6966,295312;257,7702206;6,03467537;84,66776582;949,6834178;3950,525696;556,0432555;81,45327009;1027,691837;63,28556043;1989,015423;6595,011033
2020;De 1/2 a 1;1130200;11705,13594;5850,674784;52478,96954;269,9093116;262,7163027;0,18389182;7,00911709;274,325434;60,65064222;366,2612073;2,81636722;31,93953735;27,53574294;4,30156552;0,10222889;1537,509314;9161,724126;0,38351386;0,00004854;0,38346532;19,78761485;20,12348647;117,7484161;1,56058862;99,35524933;27891,385;4286,667866;317266,5387;2512,895108;59,97999689;1,0965928;14,71637054;411,2476249;1356,461838;107,0127698;18,38815099;248,4349412;17,57934218;478,6076832;1502,430398
2020;De 1 a 2;4228280;79378,8408;17237,16501;140094,2169;1440,566823;1405,656768;1,32693915;33,58311605;1072,367979;288,3491251;1932,994666;29,36447503;168,2021422;146,4008837;21,40755231;0,39370619;11017,30989;63429,69245;2,48828014;0,00020515;2,48807499;52,47796227;54,8977125;592,081335;5,0662868;545,6997979;70562,89981;11405,02158;975387,4906;7758,113651;184,4562764;4,66636722;44,05766255;1413,303876;4778,72045;373,8437132;61,81638237;739,9273049;35,22020803;1656,414799;4344,313386
2020;De 2 a 3;6703824;209934,1339;26664,31033;115486,527;4661,82183;4524,834871;3,65813874;133,3288201;4328,430936;1532,240897;7075,217081;111,3024023;834,5866006;747,1588845;85,82655846;1,60115765;30657,07014;160733,5171;1010,684771;0,01631791;1010,668454;49,82174934;1060,018584;2883,826911;198,0483729;2037,349235;81419,75535;8627,699641;1094922,56;6423,169024;266,691412;6,11946632;93,41332828;3593,389116;10094,64807;908,0038667;116,5869008;803,2455685;39,99951448;1784,209879;3821,297452
2020;De 3 a 5;7530902;363605,9966;47058,3394;141552,2875;12506,90933;11876,51146;7,99194438;622,405929;7814,953185;4782,109398;17953,68582;540,5835019;2350,662794;2100,415487;246,2825284;3,96477866;45135,08624;272522,1058;10135,48647;1,05254536;10134,43392;112,2476234;10245,96147;14405,66531;1856,835815;6105,183751;116343,1501;11959,21181;1461358,293;10415,53204;743,2138427;18,53361999;296,6385964;9841,71829;22573,65516;2254,62573;271,8486204;1427,231304;63,94092551;3182,690585;5826,304518
2020;De 5 a 7;3449142;253864,9508;34977,42476;109168,4167;10053,02504;9257,552044;6,00278415;789,4702091;4064,057179;3535,557593;13188,74591;751,6303075;2122,881366;1905,009138;215,4073697;2,46485818;29929,3403;190219,7525;17301,90522;3,4476264;17298,45759;91,80622012;17389,10837;19431,93266;2970,757355;5136,115285;90175,46335;9279,00437;1086489,184;8253,659696;923,5765272;24,28674753;322,5967472;8173,615873;16967,18692;1997,685505;232,696753;1044,100788;63,49895166;2420,414899;3963,255237
2020;De 7 a 10;2385896;248598,1098;33664,99498;82769,53171;12260,00281;10776,24946;6,34227877;1477,411074;3438,789978;3200,930479;13701,91977;1177,027111;2342,647026;2100,000419;240,8970744;1,74953253;19239,87985;193236,9318;28381,79605;11,52390891;28370,27214;97,83202805;28466,89004;27832,76657;4420,867344;3946,084242;78810,53468;8283,789019;951256,79;7541,743747;1457,938053;72,83346952;487,6556493;7761,974622;16413,00971;2149,608014;248,2753458;975,8343129;44,2817362;2362,85531;4870,47923
2020;De 10 a 15;1686429;255171,9712;36921,26214;76454,31781;16889,23957;14132,8621;7,32026809;2749,057198;2874,619269;2616,589021;14487,02188;1743,951355;2557,176721;2275,358561;280,4399018;1,37825837;8093,250954;205910,1426;39074,77216;30,2704315;39044,50173;135,4917445;39179,29832;37535,67244;4617,120499;3158,683679;78768,43299;8147,972776;989199,8592;8542,828378;2355,721647;214,441681;720,6243173;7388,5107;15871,34265;2308,20765;284,6643839;1046,102683;43,84456881;2810,6617;4806,554411
2020;De 15 a 20;713863;154274,074;23050,12666;47740,78276;12228,43191;9744,062044;5,33033248;2479,03953;1355,808594;1218,78732;8299,73338;1371,567337;1595,332783;1408,231028;186,27521;0,82654498;1852,477111;126351,9429;27312,16889;33,46862282;27278,70027;91,18054232;27369,62229;26348,47006;2570,034415;1663,529294;47129,89191;5153,674147;661963,3909;6189,936124;2113,594472;151,9988696;547,6512075;4337,226262;8825,395874;1422,725786;189,069028;629,5710332;23,31253543;1832,680356;3561,692474
2020;De 20 a 30;563416;169820,9136;27170,35989;52557,72104;14338,3542;11050,0107;4,56370181;3283,779802;1081,811685;979,9608827;8343,891855;1997,116013;1796,945997;1571,017979;225,1507743;0,77724345;977,0125828;140305,8202;32714,32113;54,29040576;32660,03072;116,6548675;32776,66537;31563,35222;2694,20391;1642,467996;54491,78293;6386,824917;797292,2466;9019,995131;2822,393318;207,7670632;628,7679183;4348,640838;8789,377625;1583,02501;227,6376665;700,8733337;25,32539718;2432,781873;4626,180268
