Ano Calendário;Faixa de Salários-Mínimos;13º salário;Ganho Cap. na alienação de bens ou direitos;Ganho Cap. alien. bens/dir. e aplic. adquir. moeda estrang.;Ganhos Cap. alienação de moeda estrangeira em espécie;Rend. de Aplicações Financeiras;Ganhos líquidos em renda variável;Rendimentos recebidos acumuladamente;13º salário recebido pelos dependentes;Rendimentos recebidos acumuladamente pelos dependentes;Juros sobre capital próprio;Participação nos lucros ou resultados;Outros
2020;Até 1/2;47391,00487;19,88769506;0,3644623;0,04482014;1826,169965;77,52293603;127,7375048;76,62039828;0,96060575;99,39703891;1404,398837;1189,661099
2020;De 1/2 a 1;23936,76884;73,21100241;0,94885542;0,11860999;2212,459138;129,8699601;432,9179713;32,79320537;2,46822946;100,4184;3294,466405;1606,699506
2020;De 1 a 2;16986,44618;309,4975957;3,39601677;0,44424512;3952,879457;314,0638774;1012,785038;28,62194041;5,55344706;189,9977184;7519,700016;1821,38638
2020;De 2 a 3;5757,257639;472,1772933;5,72968453;0,39741982;3239,811178;322,8503927;1020,243458;12,01197706;4,93945162;153,8349352;4576,271169;1153,480376
2020;De 3 a 5;3979,591077;1130,95365;16,53583701;1,48968059;4762,396396;585,8774123;2002,808388;9,79395049;8,16643508;233,6255801;4010,660341;1401,660553
2020;De 5 a 7;1576,42441;1163,926185;18,84449748;1,31057459;3414,853333;490,2552741;1505,07913;4,42946847;7,31956009;186,2231373;2009,896015;855,0636863
2020;De 7 a 10;1218,168672;1602,526311;33,24208449;2,12887177;3764,355554;591,761614;1854,122208;5,07016259;10,08781228;235,5470563;1752,78262;975,4766242
2020;De 10 a 15;1093,185565;2226,430191;60,16509006;4,76781678;4282,94507;748,7351004;2235,744938;4,14104079;11,01168141;315,8399625;1745,760868;1166,173753
2020;De 15 a 20;845,3083222;1741,100409;61,10904138;4,10184795;2998,325623;576,165757;1625,710826;2,32033146;7,7740959;259,8054712;1033,357281;850,3955329
2020;De 20 a 30;1268,53122;2636,223988;128,6381731;9,81873196;4065,037925;806,2573859;1852,740609;3,37716742;7,36808767;443,2276777;1255,952341;1119,856258
2020;De 30 a 40;669,5237828;1555,889619;103,7173727;6,80564371;2176,330858;477,9622275;872,5365409;1,10786018;3,30477291;294,7282889;630,2242446;623,8825683
2020;De 40 a 60;922,5757511;2865,493054;238,2939877;19,05903777;3852,405711;949,6031566;1236,440033;1,84527508;8,61253635;659,0222347;1156,44485;1143,606618
2020;De 60 a 80;497,0258222;1813,423704;202,5099725;10,45963902;2152,048682;592,3299514;399,8435048;2,55279706;0,65775674;537,1770485;617,0589894;646,791326
2020;De 80 a 160;341,1180943;4164,441531;547,6008278;36,99839799;4097,19291;1314,359698;522,9692701;1,94065139;0,61937182;1464,251481;1104,710259;1209,929937
2020;De 160 a 240;372,9440604;2265,871868;323,8439931;20,74473791;1872,698811;743,8126166;99,36119553;0,17387995;0;890,5662494;511,002396;564,326153
2020;De 240 a 320;212,5367647;1922,455967;261,7069443;14,51558659;1306,528295;576,1000126;14,98068557;0,08766069;0,02427746;722,3169852;289,810879;536,8310947
2020;Mais de 320;189,6434931;30374,10243;2436,822166;36,87433953;12160,96241;6081,99988;24,97438994;0,336325;0,03575664;7447,886418;1153,626407;3279,237248
2019;Até 1/2;43240,70426;14,14428595;0,18544018;0,04732328;1773,476657;24,68938069;112,2372861;79,09333986;0,84437907;75,95669108;1251,595104;1023,043657
2019;De 1/2 a 1;22962,8767;50,46260525;0,49187983;0,08205128;2610,342133;41,36246702;432,0984626;32,3360706;2,64932142;82,64015873;2991,966198;1547,336605
2019;De 1 a 2;16532,54029;211,0978084;2,13419228;0,16844394;5146,778312;101,8646393;1029,890357;27,75471399;6,45158827;161,9558292;7708,743379;1820,693238
2019;De 2 a 3;6320,73056;329,1134643;3,03992709;0,36893895;4469,529615;108,8392157;1024,415339;12,85551817;6,11896247;140,3427792;4606,695428;1189,772616
2019;De 3 a 5;4517,443693;818,4349867;11,34075838;0,89203435;6921,852537;209,1938195;1864,426369;11,8418692;10,27994139;224,9713975;4073,924669;1419,196485
2019;De 5 a 7;1833,356324;841,0310639;14,54490211;0,94105239;4994,230967;184,8629267;1452,372921;5,55284366;8,4132896;182,7708479;2095,722298;833,35214
2019;De 7 a 10;1362,593601;1174,113584;23,99843453;2,23019258;5536,4542;238,4156993;1803,20466;5,71799292;10,53087579;236,3261544;1773,129835;914,8227368
2019;De 10 a 15;1172,187143;1632,457713;43,25601303;2,93928376;6311,420896;326,8430792;2327,792222;4,08798746;12,40196189;320,1741761;1704,177529;1060,829457
2019;De 15 a 20;873,2881075;1304,136754;44,16213792;3,72998215;4439,281947;257,968189;1783,338276;3,02492443;8,88411921;274,7340238;982,3739133;781,6235795
2019;De 20 a 30;1317,137728;1911,755837;92,19641559;5,60983921;6045,835051;394,5500802;2164,113408;2,92871124;10,3533448;455,8756384;1215,385488;1099,387487
2019;De 30 a 40;796,6693637;1266,185392;82,69589854;4,637473;3697,408415;271,5943227;1148,991942;2,37558382;4,33703991;326,0425785;683,2888289;656,6922998
2019;De 40 a 60;934,0793983;1951,469177;155,869424;9,90813576;5589,447057;496,8289306;1162,152937;3,03677938;7,3973299;673,0254716;1011,16262;1025,347853
2019;De 60 a 80;548,4544709;1365,268688;149,7967141;8,94557812;3347,714631;355,1881354;463,269156;0,72085286;1,86102297;533,9610709;563,1043788;568,7863619
2019;De 80 a 160;412,746072;3034,861687;401,5520228;18,97235537;6742,600396;909,6976107;709,8230468;2,65802381;7,6903487;1559,255055;1012,540526;1086,043856
2019;De 160 a 240;296,9605348;1767,751859;259,6276237;9,33020996;3167,127113;617,9854611;152,5307673;0,26595487;0;1000,797968;419,9949953;593,4155759
2019;De 240 a 320;267,3273971;1293,383174;183,2691847;9,48205939;1931,867235;384,7968166;42,83919746;0,08289228;3,11689723;717,9051718;185,8511963;320,7097648
2019;Mais de 320;263,3825568;23570,75526;1957,786125;70,06412513;13007,31923;7463,425743;38,04663005;0,28978019;0,06972268;9382,792269;954,8712073;2761,632379
2018;Até 1/2;40819,53092;13,00746512;0,18482319;0,0562378;1580,121155;12,08820212;113,0913145;80,79737217;0,75228139;74,70596384;1180,579565;940,7901915
2018;De 1/2 a 1;22524,81001;46,26118594;0,45821247;0,09155011;2403,333401;20,05308306;399,293206;33,22777688;2,0750716;95,85278387;3056,275552;1448,202848
2018;De 1 a 2;17022,96197;186,9427668;2,25415631;0,35341644;4784,514263;52,60510618;1001,377294;29,45678715;5,69356414;185,4571037;7513,292663;1729,762547
2018;De 2 a 3;6084,352181;292,9354912;3,18997777;0,35343823;4188,856755;58,65072741;1030,677789;13,28655414;6,16819679;147,8511482;4104,635413;1146,039127
2018;De 3 a 5;4271,716918;711,9677756;11,87383897;1,38199267;6453,684898;120,8059985;2021,858831;11,13798334;11,55780665;216,2551316;3486,014934;1352,334127
2018;De 5 a 7;1685,468935;750,8075497;12,36218985;1,27127066;4635,001562;109,6274495;1515,652124;5,07166717;8,43258739;169,4676092;1845,379234;796,6181584
2018;De 7 a 10;1258,606037;1062,319522;23,1435102;1,43945168;5065,918356;134,4117718;1800,550495;5,27872748;11,02394482;213,1700481;1632,061833;857,407263
2018;De 10 a 15;1128,40514;1429,271882;39,9554542;2,63098649;5836,048913;187,559555;2396,386021;4,67321249;15,22699985;295,7599174;1641,425419;990,0436672
2018;De 15 a 20;799,9268809;1175,822203;44,14778278;2,43431355;4087,955522;163,5613166;1772,175881;2,53175249;9,7007298;259,2338112;943,8635538;681,7886305
2018;De 20 a 30;1239,126548;1730,199317;84,26109701;5,10995649;5512,281301;257,6123725;1991,76342;3,94281306;8,2857165;441,0943408;1143,860626;985,6738351
2018;De 30 a 40;811,7629109;1247,862855;73,9480521;5,73851047;3610,776748;192,0610932;1107,695057;1,54948639;5,55594222;365,9033751;732,6313925;639,2701756
2018;De 40 a 60;806,5832768;1697,475761;116,670221;6,96440181;4640,231664;288,938667;1010,691808;2,82975449;4,84674326;606,623199;897,956945;829,2883793
2018;De 60 a 80;504,2086592;1220,12331;118,2490178;9,9337099;2839,094463;220,3847564;440,3208924;0,49478666;0,89594571;509,9421402;556,3927041;531,8417948
2018;De 80 a 160;410,2130364;2667,032931;361,2974659;30,48308719;5703,231724;637,3409892;601,6553645;1,92983263;4,09676261;1429,291825;1020,903293;989,9323267
2018;De 160 a 240;297,2987011;1540,46138;196,8987582;3,56956334;2522,392703;375,5196268;119,0137103;0,17357619;0,00058301;918,2694801;409,7450778;465,9113645
2018;De 240 a 320;250,3906968;1157,268174;164,7904994;16,53264044;1668,520639;271,7151841;39,17102564;0,09280794;0,03048353;673,8843029;184,139984;362,7716864
2018;Mais de 320;354,0629124;16466,27599;1356,202707;57,3283809;12274,2484;4300,292031;58,52117312;0,29559739;0,07286047;8948,722667;858,6108263;2469,965794
2017;Até 1/2;38898,45365;11,61414029;0,26870895;0,00580258;1485,191143;6,9412687;120,5990102;77,0878825;0,60926416;63,88118462;1078,41273;896,2181814
2017;De 1/2 a 1;21091,54646;40,93325321;0,62829795;0,01596429;2412,144903;12,65929356;488,6222867;31,3063018;1,96282117;74,29048868;3144,240677;1351,696103
